-1.605700000000000000e+04 -3.538260000000000000e+05 -8.026100000000000000e+04 8.239331655204296112e-03 3.515999997034668922e-04 6.369431503117084503e-04 8.179750147974118590e-05
-1.385900000000000000e+04 -3.539200000000000000e+05 -8.026200000000000000e+04 3.345480421558022499e-03 2.974414383061230183e-04 2.937866374850273132e-04 2.492041385266929865e-04
-1.157100000000000000e+04 -3.539220000000000000e+05 -8.024800000000000000e+04 3.971426747739315033e-03 5.500538973137736320e-04 4.688427434302866459e-04 5.013059126213192940e-04
-9.334000000000000000e+03 -3.539260000000000000e+05 -8.026700000000000000e+04 4.441338591277599335e-03 1.767605426721274853e-04 9.516559657640755177e-05 2.567340270616114140e-04
-7.227000000000000000e+03 -3.539030000000000000e+05 -8.025200000000000000e+04 2.283303765580058098e-03 2.286245580762624741e-04 3.753397031687200069e-04 5.219104932621121407e-04
-4.969000000000000000e+03 -3.539250000000000000e+05 -8.026400000000000000e+04 1.919800299219787121e-03 2.332612930331379175e-04 2.517229004297405481e-04 3.599164192564785480e-04
-2.799000000000000000e+03 -3.539270000000000000e+05 -8.026900000000000000e+04 1.661192276515066624e-03 6.528201083710882813e-06 2.359512436669319868e-04 2.528689510654658079e-04
-4.590000000000000000e+02 -3.539270000000000000e+05 -8.026700000000000000e+04 8.209433872252702713e-04 1.557217910885810852e-04 4.557562642730772495e-04 1.534718321636319160e-04
1.773000000000000000e+03 -3.539620000000000000e+05 -8.027200000000000000e+04 2.982398436870425940e-04 1.342694886261597276e-04 1.978303916985169053e-04 2.443417324684560299e-04
3.920000000000000000e+03 -3.539250000000000000e+05 -8.029500000000000000e+04 2.449406310915946960e-04 2.569831267464905977e-04 1.017430695355869830e-04 6.682351231575012207e-04
6.096000000000000000e+03 -3.539330000000000000e+05 -8.026400000000000000e+04 3.859800053760409355e-04 4.665940359700471163e-04 7.953662861837074161e-05 9.943549230229109526e-05
